"name","longitude","latitude"
"Koper","13.722","45.55"
"Sa Rapita","2.953","39.36"
"Andratx","2.382","39.545"
"Pollensa","3.088","39.905"
"Porto Cristo","3.335","39.539"
"Colonia Sant Pere","3.273","39.737"
"Paphos","32.409","34.755"
"Mazara del Vallo","12.533","37.518"
"Sete","3.78","43.371"
"Banyuls","3.168","42.488"
"Lion","4.683","42.072"
"Porquerolles","6.207","42.933"
"Mesurho","4.866","43.319"
"Antares","6.17","42.8"
"La Spezia","9.828","43.929"
"Monopoli","17.378","40.975"
"Cagliari","9.454","39.11"
"Genova","8.926","44.41"
"Bahia De Palma","2.7","39.493"
"Tarragona","1.453","40.695"
"Cote dAzur","7.842","43.402"
"Dragonera","2.106","39.556"
"Crotone","17.22","39.024"
"Vida","13.556","45.596"
"Skyros","24.464","39.113"
"Valencia","0.203","39.518"
"La Mola","4.31","39.868"
"Alboran Current Meter","-4.988","36.221"
"Cabo De Penas","-6.168","43.743"
"Cabo de Palos","-0.325","37.653"
"Cetraro","15.917","39.451"
"Alistro","9.643","42.262"
"Santander","-3.5","43.56"
"Santorini","25.501","36.262"
"Sardinia Channel","9.33","38.33"
"Cabo Silleiro","-9.443","42.361"
"Le Planier","5.23","43.208"
"Leucate","3.124","42.916"
"Venezia","12.663","44.974"
"Ancona","13.719","43.825"
"Saronikos","23.567","37.61"
"La Spezia","9.858","44.096"
"Cabo Silleiro","-9.406","42.131"
"Heraklion","25.079","35.434"
"Estaca de Bares","-7.652","44.099"
"Villano Sisargas","-9.214","43.497"
"Bilbao","-3.051","43.642"
"Cabo de Gata","-2.337","36.572"
"Mahon","4.44","39.72"
"Zakynthos","20.604","37.956"
"Catania","15.147","37.434"
"Civitavecchia","11.689","42.133"
"Bilbao","-3.171","40.666"
"OOCS","2.908","41.662"
"Senigallia","13.209","43.755"
"Athos","24.729","39.975"
"E1M3A","25.131","35.726"
"Cadiz","-6.965","36.492"
"Gironde Bordeaux","-0.546","44.863"
"Salvora","-9.003","42.458"
"Gascogne","-5.0","45.2"
"Canal De Ibiza","0.784","38.824"
"Monaco","7.426","43.714"
"Savona","8.18","43.921"
"Alghero","8.107","40.549"
"Mykonos","25.46","37.519"
"Pylos","21.607","36.829"
"Marseille","5.337","43.33"
"Son Blanc","3.826","39.992"
"Molo Bandiera","13.752","45.649"
"Oleron Large","-1.835","45.91"
"La Revellata","8.65","42.569"
"Kalamata","22.094","36.971"
"Gironde Pauillac","-0.743","45.198"
"Gironde Portets","-0.425","44.702"
"Cadaques","3.328","42.256"
"Ponza","12.95","40.867"
"Valencia","-0.207","39.504"
"Nice","7.226","43.636"
"Espiguette","4.133","43.425"
"Gironde Libourne","-0.249","44.914"
"Palermo","13.333","38.258"
"Roncadoira buoy","-7.516","43.739"
"E2M3A","18.082","41.528"
"Imperia","8.019","43.878"
